parameter,type,resample,distribution_type,mean,two_sigma,lower_limit,upper_limit,units,source,notes
dlcy_570,constant,TRUE,gaussian,3,2.1,#NAME?,inf,per mil,Berner (2006a),d13C of young carbonate carbon at 570 Myrs ago
dlpy_570,constant,TRUE,gaussian,-10,4.7,#NAME?,inf,per mil,Berner (2006a),d34S of young pyrite sulfur at 570 Myrs ago
dlpa_570,constant,TRUE,gaussian,-10,4.7,#NAME?,inf,per mil,Berner (2006a),d34S of old pyrite sulfur at 570 Myrs ago
dlgy_570,constant,TRUE,gaussian,-23.5,2.1,#NAME?,inf,per mil,Berner (2006a),d13C of young organic matter at 570 Myrs ago
dlga_570,constant,TRUE,gaussian,-23.5,2.1,#NAME?,inf,per mil,Berner (2006a),d13C of old organic matter at 570 Myrs ago
Rcy_570,constant,TRUE,gaussian,0.7095,0.0021,#NAME?,inf,dimensionless,,87Sr/86Sr of young carbonates undergoing weathering at 570 Myrs ago
Rca_570,constant,TRUE,gaussian,0.709,0.0021,#NAME?,inf,dimensionless,,87Sr/86Sr of old carbonates undergoing weathering at 570 Myrs ago
Rv_570,constant,TRUE,gaussian,0.704,0.001365,#NAME?,inf,dimensionless,Berner (2008),87Sr/86Sr of sub-aerial and submarine volcanic rocks at 570 Myrs ago
Rg_570,constant,TRUE,gaussian,0.722,0.0021,#NAME?,inf,dimensionless,Berner (2008),87Sr/86Sr of non-volcanic silicates at 570 Myrs ago
Fob,constant,TRUE,gaussian,4,2,0,inf,10^18 mol/m.y.,Berner (2008),Ca and Mg flux between basalt and seawater
COC,constant,TRUE,gaussian,2,1,0,inf,10^18 mol,,Mass of carbon in ocean
Ga,constant,TRUE,gaussian,1000,75,0,inf,10^18 mol,Berner (2006a),Mass of old crustal organic carbon (value in Berner 2006a is a typo)
Ssa,constant,TRUE,gaussian,150,75,0,inf,10^18 mol,Berner (2006a),Mass of old CaSO4 sulfur
Spa,constant,TRUE,gaussian,280,140,0,inf,10^18 mol,Berner (2006a),Mass of old pyrite sulfur
ST,constant,TRUE,gaussian,600,300,0,inf,10^18 mol,,"Mass of sulfur in oceans + ""interacting rocks"" (i.e., sulfur in rocks undergoing weathering, burial, etc.)"
dlst,constant,TRUE,gaussian,4,3.055,#NAME?,inf,per mil,,d34S of ST
CT,constant,TRUE,gaussian,6252,468.9,0,inf,10^18 mol,,"Mass of carbon in oceans + ""interacting rocks"" (i.e., carbon in rocks undergoing weathering, burial, etc.)"
dlct,constant,TRUE,gaussian,-3.5,0.252,#NAME?,inf,per mil,,d13C of CT
kwpy,constant,TRUE,gaussian,0.01,0.005,0,inf,per Myrs,Berner (2006a),Rate constant expressing mass dependence for young pyrite sulfur
kwsy,constant,TRUE,gaussian,0.01,0.005,0,inf,per Myrs,Berner (2006a),Rate constant expressing mass dependence for young CaSO4 sulfur
kwgy,constant,TRUE,gaussian,0.018,0.009,0,inf,per Myrs,Berner (2006a),Rate constant expressing mass dependence for young organic matter weathering
kwcy,constant,TRUE,gaussian,0.018,0.009,0,inf,per Myrs,Berner (2006a),Rate constant expressing mass dependence for young carbonate weathering
